company,ticker,sector,membership_effective_date,latest_annual_report_required,previous_annual_report_required,separate_sustainability_report_if_available,official_site_search_required,partner_case_study_search_required
3i,III,Financial services,2026-06-19,yes,yes,yes,yes,yes
Aberdeen Group,ABDN,Financial Services,2026-06-19,yes,yes,yes,yes,yes
Admiral Group,ADM,Insurance,2026-06-19,yes,yes,yes,yes,yes
Airtel Africa,AAF,Telecommunications services,2026-06-19,yes,yes,yes,yes,yes
Alliance Witan,ALW,Investment Trusts,2026-06-19,yes,yes,yes,yes,yes
Anglo American plc,AAL,Mining,2026-06-19,yes,yes,yes,yes,yes
Antofagasta plc,ANTO,Mining,2026-06-19,yes,yes,yes,yes,yes
Associated British Foods,ABF,Food & tobacco,2026-06-19,yes,yes,yes,yes,yes
AstraZeneca,AZN,Pharmaceuticals & biotechnology,2026-06-19,yes,yes,yes,yes,yes
Auto Trader Group,AUTO,Media,2026-06-19,yes,yes,yes,yes,yes
Aviva,AV,Life insurance,2026-06-19,yes,yes,yes,yes,yes
Babcock International,BAB,Aerospace & defence,2026-06-19,yes,yes,yes,yes,yes
BAE Systems,BA,Aerospace & defence,2026-06-19,yes,yes,yes,yes,yes
Barclays,BARC,Banks,2026-06-19,yes,yes,yes,yes,yes
Barratt Redrow,BTRW,Household goods & home construction,2026-06-19,yes,yes,yes,yes,yes
Beazley,BEZ,Insurance,2026-06-19,yes,yes,yes,yes,yes
BP,BP,Oil & gas producers,2026-06-19,yes,yes,yes,yes,yes
British American Tobacco,BATS,Tobacco,2026-06-19,yes,yes,yes,yes,yes
British Land,BLND,Real estate,2026-06-19,yes,yes,yes,yes,yes
BT Group,BT.A,Telecommunications services,2026-06-19,yes,yes,yes,yes,yes
Bunzl,BNZL,Support services,2026-06-19,yes,yes,yes,yes,yes
Burberry Group,BRBY,Personal goods,2026-06-19,yes,yes,yes,yes,yes
Centrica,CNA,Multiline utilities,2026-06-19,yes,yes,yes,yes,yes
Coca-Cola Europacific Partners,CCEP,Beverages,2026-06-19,yes,yes,yes,yes,yes
Coca-Cola HBC,CCH,Beverages,2026-06-19,yes,yes,yes,yes,yes
Compass Group,CPG,Support services,2026-06-19,yes,yes,yes,yes,yes
Computacenter,CCC,Software & computer services,2026-06-19,yes,yes,yes,yes,yes
Convatec,CTEC,Health care equipment & supplies,2026-06-19,yes,yes,yes,yes,yes
Croda International,CRDA,Chemicals,2026-06-19,yes,yes,yes,yes,yes
DCC plc,DCC,Support services,2026-06-19,yes,yes,yes,yes,yes
Diageo,DGE,Beverages,2026-06-19,yes,yes,yes,yes,yes
Diploma,DPLM,Industrial support services,2026-06-19,yes,yes,yes,yes,yes
Endeavour Mining,EDV,Mining,2026-06-19,yes,yes,yes,yes,yes
Entain,ENT,Travel & leisure,2026-06-19,yes,yes,yes,yes,yes
Experian,EXPN,Support services,2026-06-19,yes,yes,yes,yes,yes
F&C Investment Trust,FCIT,Collective investments,2026-06-19,yes,yes,yes,yes,yes
Fresnillo plc,FRES,Mining,2026-06-19,yes,yes,yes,yes,yes
Games Workshop,GAW,Leisure goods,2026-06-19,yes,yes,yes,yes,yes
Glencore,GLEN,Mining,2026-06-19,yes,yes,yes,yes,yes
GSK plc,GSK,Pharmaceuticals & biotechnology,2026-06-19,yes,yes,yes,yes,yes
Haleon,HLN,Pharmaceuticals & biotechnology,2026-06-19,yes,yes,yes,yes,yes
Halma plc,HLMA,Electronic equipment & parts,2026-06-19,yes,yes,yes,yes,yes
Hiscox,HSX,Non-life insurance,2026-06-19,yes,yes,yes,yes,yes
Howdens Joinery,HWDN,Homebuilding & construction supplies,2026-06-19,yes,yes,yes,yes,yes
HSBC,HSBA,Banks,2026-06-19,yes,yes,yes,yes,yes
Intermediate Capital Group,ICG,Financial services,2026-06-19,yes,yes,yes,yes,yes
IG Group,IGG,Financial services,2026-06-19,yes,yes,yes,yes,yes
IHG Hotels & Resorts,IHG,Travel & leisure,2026-06-19,yes,yes,yes,yes,yes
IMI,IMI,Industrial engineering,2026-06-19,yes,yes,yes,yes,yes
Imperial Brands,IMB,Tobacco,2026-06-19,yes,yes,yes,yes,yes
Informa,INF,Media,2026-06-19,yes,yes,yes,yes,yes
International Airlines Group,IAG,Travel & leisure,2026-06-19,yes,yes,yes,yes,yes
Intertek,ITRK,Support services,2026-06-19,yes,yes,yes,yes,yes
Investec,INVP,Financial services,2026-06-19,yes,yes,yes,yes,yes
JD Sports,JD,General retailers,2026-06-19,yes,yes,yes,yes,yes
