sector,researched,disclosed_operational,disclosed_op_rate_of_researched,disclosed_use_cases,null_result,blocked,total_in_sector_incl_blocked,small_sample_flag
Aerospace & defence,4,2,50%,4,2,0,4,caution - n<5
Banking services,1,1,100%,2,0,0,1,YES - n<3
Banks,4,4,100%,6,0,1,5,
Beverages,2,1,50%,3,1,1,3,caution - n<5
Chemicals,1,0,0%,0,1,0,1,YES - n<3
Collective investments,2,0,0%,0,2,0,2,YES - n<3
Electrical utilities & independent power producers,1,1,100%,1,0,0,1,YES - n<3
Electronic equipment & parts,1,0,0%,0,1,0,1,YES - n<3
Financial services,9,3,33%,4,6,1,10,
Food & drug retailing,3,2,67%,2,1,0,3,caution - n<5
Food & tobacco,0,0,n/a,0,0,1,1,YES - n<3
General industrials,1,0,0%,0,1,0,1,YES - n<3
General retailers,2,0,0%,0,2,0,2,YES - n<3
Health care equipment & supplies,2,1,50%,1,1,0,2,YES - n<3
Homebuilding & construction supplies,1,0,0%,0,1,0,1,YES - n<3
Household goods & home construction,3,1,33%,1,2,0,3,caution - n<5
Industrial engineering,1,1,100%,1,0,1,2,YES - n<3
Industrial goods and services,1,0,0%,0,1,0,1,YES - n<3
Industrial support services,1,0,0%,0,1,0,1,YES - n<3
Insurance,2,0,0%,0,2,0,2,YES - n<3
Investment trusts,2,0,0%,0,2,0,2,YES - n<3
Leisure goods,1,0,0%,0,1,0,1,YES - n<3
Life insurance,4,2,50%,4,2,0,4,caution - n<5
Media,4,3,75%,6,1,0,4,caution - n<5
Mining,6,1,17%,1,5,0,6,
Mobile telecommunications,1,1,100%,2,0,0,1,YES - n<3
Multiline utilities,5,3,60%,3,2,0,5,
Non-life insurance,1,1,100%,2,0,0,1,YES - n<3
Oil & gas producers,1,1,100%,1,0,1,2,YES - n<3
Personal goods,0,0,n/a,0,0,2,2,YES - n<3
Pharmaceuticals & biotechnology,2,2,100%,4,0,1,3,caution - n<5
Real estate,1,0,0%,0,1,0,1,YES - n<3
Real estate investment trusts,4,1,25%,1,3,0,4,caution - n<5
Retail hospitality,1,0,0%,0,1,0,1,YES - n<3
Retailers,1,1,100%,1,0,0,1,YES - n<3
Software & computer services,0,0,n/a,0,0,2,2,YES - n<3
Support services,5,3,60%,3,2,1,6,
Telecommunications services,2,1,50%,4,1,0,2,YES - n<3
Tobacco,1,0,0%,0,1,1,2,YES - n<3
Travel & leisure,3,1,33%,1,2,0,3,caution - n<5
