group,company
strategic_or_governance_no_operational,3i
strategic_or_governance_no_operational,Aberdeen Group
strategic_or_governance_no_operational,Admiral Group
strategic_or_governance_no_operational,Airtel Africa
strategic_or_governance_no_operational,Anglo American plc
strategic_or_governance_no_operational,Babcock International
strategic_or_governance_no_operational,Beazley
strategic_or_governance_no_operational,British American Tobacco
strategic_or_governance_no_operational,Bunzl
strategic_or_governance_no_operational,Coca-Cola Europacific Partners
strategic_or_governance_no_operational,DCC plc
strategic_or_governance_no_operational,Diploma
strategic_or_governance_no_operational,Fresnillo plc
strategic_or_governance_no_operational,Howdens Joinery
strategic_or_governance_no_operational,IG Group
strategic_or_governance_no_operational,IHG Hotels & Resorts
strategic_or_governance_no_operational,Informa
strategic_or_governance_no_operational,Intermediate Capital Group
strategic_or_governance_no_operational,International Airlines Group
strategic_or_governance_no_operational,JD Sports
strategic_or_governance_no_operational,Prudential plc
strategic_or_governance_no_operational,Smiths Group
strategic_or_governance_no_operational,St. James's Place
strategic_or_governance_no_operational,Standard Life
strategic_or_governance_no_operational,Tritax Big Box REIT
strategic_or_governance_no_operational,Weir Group
strategic_or_governance_no_operational,Whitbread
zero_qualifying_evidence,Alliance Witan
zero_qualifying_evidence,Antofagasta plc
zero_qualifying_evidence,Barratt Redrow
zero_qualifying_evidence,British Land
zero_qualifying_evidence,Croda International
zero_qualifying_evidence,Endeavour Mining
zero_qualifying_evidence,F&C Investment Trust
zero_qualifying_evidence,Games Workshop
zero_qualifying_evidence,Glencore
zero_qualifying_evidence,Halma plc
zero_qualifying_evidence,Land Securities
zero_qualifying_evidence,LondonMetric Property
zero_qualifying_evidence,Melrose Industries
zero_qualifying_evidence,National Grid plc
zero_qualifying_evidence,Next plc
zero_qualifying_evidence,Pershing Square Holdings
zero_qualifying_evidence,Persimmon
zero_qualifying_evidence,Polar Capital Technology Trust
zero_qualifying_evidence,Sainsbury's
zero_qualifying_evidence,Scottish Mortgage Investment Trust
zero_qualifying_evidence,Smith & Nephew
zero_qualifying_evidence,United Utilities
